LEAID,LEA_NAME,LEA_TYPE_TEXT,STABR,STATENAME,LCITY,LSTATE,LZIP,GSLO,GSHI,AGCHRT,SCH,TOTTCH,TOTGUI,MEMBER,AM,AS,HI,BL,WH,HP,TR
3704500,Thomasville City Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Thomasville,NC,27360,PK,12,3,4,164,6,2464,9,17,768,922,584,2,162
3703060,Montgomery County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Troy,NC,27371,PK,12,3,11,272,9,4134,3,76,1395,817,1720,6,117
3700660,Caswell County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Yanceyville,NC,27379,PK,12,3,6,186,11,2767,9,6,194,1019,1441,0,98
3701920,Guilford County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Greensboro,NC,27401,PK,13,3,126,4748,204,73151,334,4399,10592,30006,24850,117,2853
3700121,Guilford Preparatory Academy,Independent Charter District,NC,NORTH CAROLINA,Greensboro,NC,27405,KG,8,1,1,21,0,260,0,0,11,241,1,0,7
3700315,Triad Math and Science Academy,Independent Charter District,NC,NORTH CAROLINA,Greensboro,NC,27406,KG,12,1,1,61,1,1159,4,50,129,715,208,9,44
3700388,Piedmont Classical High School,Independent Charter District,NC,NORTH CAROLINA,Greensboro,NC,27409,9,10,1,1,9,1,129,0,3,6,39,74,0,7
3700084,Greensboro Academy,Independent Charter District,NC,NORTH CAROLINA,Greensboro,NC,27410,KG,8,1,1,34,0,753,1,64,39,62,572,0,15
3700328,Cornerstone Charter Academy,Independent Charter District,NC,NORTH CAROLINA,Greensboro,NC,27455,KG,9,1,1,49,1,808,1,25,33,81,627,0,41
3700324,Triangle Math and Science Academy,Independent Charter District,NC,NORTH CAROLINA,Cary,NC,27511,KG,9,1,1,36,1,642,0,300,35,96,190,0,21
3700358,Cardinal Charter,Independent Charter District,NC,NORTH CAROLINA,Cary,NC,27513,KG,7,1,1,55,0,927,3,76,81,95,478,100,94
